pattern,fractions,ratios,linear_equations,percentages
uniformly_strong,0.8914151239263295,0.4880047681278514,1.0,1.0
uniformly_strong,0.2146894434038491,0.40934614794130464,0.8383521209501856,0.7051272222969254
uniformly_strong,0.7949596527487134,0.544086821727926,1.0,1.0
uniformly_strong,0.8198092092683649,1.0,0.9402528026756137,0.5422122611350286
uniformly_strong,0.9106252352247497,0.5123352197513004,1.0,0.7850222267041241
uniformly_strong,0.7445412909364219,0.5957211366788177,1.0,0.7536411553793594
uniformly_strong,0.6715016533510678,0.6943599348535312,0.9596927556660046,0.9096332193092236
uniformly_strong,0.9238197834787966,0.9292463009023648,1.0,0.6780754950846154
uniformly_strong,0.6463271812785388,0.5558681815256368,0.9847938267726487,1.0
uniformly_strong,0.7658157627035376,0.5479530569112416,0.5526556352926282,0.9951778363474104
uniformly_strong,1.0,0.9629462804915585,0.6003470878133917,0.8696483969200159
uniformly_strong,0.8350057427422185,0.865606579018704,1.0,0.8670786646324047
uniformly_strong,1.0,0.8202737208466675,0.8867358196069953,0.9893864677515621
uniformly_strong,0.3628532540433001,0.7040986350928097,0.6588882037121614,0.6083366455269975
uniformly_strong,0.717457324631995,1.0,0.5402506652920271,1.0
uniformly_strong,0.2951390685152586,0.6995344910042676,0.8488259195315018,0.9758666994077835
uniformly_strong,1.0,1.0,0.6953824783254687,0.6612944622006299
uniformly_strong,1.0,0.7426087025355156,0.4172941029986235,0.4600138357989559
uniformly_strong,0.5241643141995167,0.9491482232161292,0.8427277208211696,1.0
uniformly_strong,0.6718242060990398,0.8475619073230143,0.9876771181902011,0.7071960380839285
uniformly_strong,0.9370325712672235,0.6014222176800047,0.6910838460304785,0.6854786318005013
uniformly_strong,0.44124810632328815,0.9460917442356745,0.6591792979391828,0.8037482356183063
uniformly_strong,0.9442239976717728,0.9339593528089832,0.9996155326918359,0.7704543546471729
uniformly_strong,0.673010506386754,0.7760845367280803,0.2937996698125911,0.3658662582730739
uniformly_strong,0.40319011629367935,0.5008259517195555,0.919932268017031,0.5283562833919818
uniformly_strong,0.6865512337881832,1.0,0.6931208086815722,1.0
uniformly_strong,0.5199146959970369,0.738368732639711,0.5149933835268257,0.6982900772298313
uniformly_strong,1.0,0.2818038730422955,0.9303270930637573,0.8713206806996834
uniformly_strong,0.6217550132909617,0.3661826436834637,0.8216388523141609,0.6411521872808593
uniformly_strong,0.8698028634064112,0.8065556436570329,1.0,0.7281933117580928
uniformly_strong,0.4929507522134406,0.8537826904868949,0.8659990051915296,1.0
uniformly_strong,1.0,0.9070613177448529,1.0,0.44337108370314476
uniformly_strong,0.6080745401750758,0.5220272175783426,0.6830570590532696,0.3869941557331074
uniformly_strong,0.9905452840443213,0.7333331908703681,0.3587581116492027,0.49532627563773757
uniformly_strong,0.8940541542350586,1.0,1.0,1.0
uniformly_strong,0.9243228299827989,0.5031385639904409,0.16038611578060735,0.8803134387031508
uniformly_strong,0.5561176714069023,0.6753928219460945,0.6163709602820576,0.7577627340750844
uniformly_strong,1.0,0.8471145702336035,0.7524095488883935,0.48930387415225657
uniformly_strong,0.297595116588693,0.6541076272780008,0.7838652347545039,1.0
uniformly_strong,0.8390823564418658,1.0,0.6502113204382545,0.44451687007489266
uniformly_strong,0.5104649713302885,0.582432180639274,1.0,0.5535839962326843
uniformly_strong,1.0,0.5291218465738922,1.0,0.915485289831759
uniformly_strong,0.753008630702573,0.7877712421593699,0.6035636913711829,0.9338216604446242
uniformly_strong,0.663504955897766,0.4323182708698256,0.4166187277041143,0.8517763753166359
uniformly_strong,1.0,0.8479974840720315,0.7644085021670353,0.8857478418807629
uniformly_strong,1.0,0.8658147504091569,0.6767218307498789,1.0
uniformly_strong,0.9286269315384841,1.0,0.8549703311665718,0.43265929048385
uniformly_strong,0.3895522402263006,1.0,1.0,0.7461442360152198
uniformly_strong,0.6850438036592037,1.0,0.46788629538695364,0.5315818943132522
uniformly_strong,0.9929980384067134,0.6816184631421232,0.7984634399839786,0.7509671304426463
uniformly_strong,0.9012723646396801,1.0,0.8271754720705237,0.9931816379830574
uniformly_strong,0.18494836969069328,0.7853844794209647,0.5470309189121387,0.43435608187291164
uniformly_strong,0.5365542899213749,0.6997629677897564,1.0,0.40208218467813084
uniformly_strong,0.8091894477783252,0.6547491699999265,0.7016980716914119,1.0
uniformly_strong,0.9614346311011779,1.0,0.7536482962250299,0.5912172164987891
uniformly_strong,0.7328423549358501,0.8727490373813666,0.8529720075361134,0.4746835783299901
uniformly_strong,0.8271469344883623,0.8684684990416716,1.0,1.0
uniformly_strong,0.5440269948323541,0.7137849915352472,0.3609673994488991,0.6227878958109541
uniformly_strong,0.8946815010771022,1.0,0.5812748486769175,0.6037560679796611
